idmaster,onet_task,idusing,onet_task1,similscore
7691,measure parts to determine tolerances using precision measuring instruments such as micrometers callipers verniers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.8062
7357,maintain records such as vehicle logs records of cargo billing statements in accordance with regulations,246,maintain financial records such as accounts of daily collections billings records of receipts issued,0.8055
14081,verify conformance of patterns template dimensions to specifications using measuring instruments such as callipers scales micrometers,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.8051
6048,inspect active remediation sites to ensure compliance with environmental safety policies standards regulations,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.805
7222,maintain files such as maintenance records bills of lading cost reports,246,maintain financial records such as accounts of daily collections billings records of receipts issued,0.8038
14092,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as callipers gauge blocks micrometers dial indicators,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.8033
14095,verify dimensions of products using measuring instruments such as callipers vernier gauges protractors,55,calculate dimensions tolerances using instruments such as micrometers vernier calipers,0.8025
14095,verify dimensions of products using measuring instruments such as callipers vernier gauges protractors,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.8021
1285,calculate dimensions tolerances using instruments such as micrometers vernier callipers,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.802
7653,measure examine test completed units to check defects ensure conformance to specifications using precision instruments such as micrometers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.8011
1820,collaborate with other educational professionals to develop teaching strategies school programs,63,collaborate with other professionals to develop sustainable transportation strategies at the local regional national levels,0.7997
6309,inspect used parts to determine changes in dimensional requirements using rules callipers micrometers other measuring instruments,55,calculate dimensions tolerances using instruments such as micrometers vernier calipers,0.7996
14092,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as callipers gauge blocks micrometers dial indicators,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7993
7036,locate center lines verify template positions using measuring instruments such as gauge blocks height gauges dial indicators,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.799
9164,perform clerical duties such as typing proofreading sorting mail,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.7989
7691,measure parts to determine tolerances using precision measuring instruments such as micrometers callipers verniers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7986
1285,calculate dimensions tolerances using instruments such as micrometers vernier callipers,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.7984
6164,inspect individual parts assemblies installations using measuring instruments such as callipers scales micrometers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7981
5141,examine documentation such as mortgages liens judgments easements plat books maps contracts agreements to verify factors such as properties legal descriptions ownership restrictions,315,prepare draft legal documents such as wills deeds patent applications mortgages leases contracts,0.7979
13035,study blueprints layouts charts job orders information on specifications tooling instructions to determine material requirements operational sequences,403,study production information such as character descriptions period settings situations in order to determine makeup requirements,0.7977
7691,measure parts to determine tolerances using precision measuring instruments such as micrometers callipers verniers,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.7977
6319,inspect weigh measure products to verify conformance to specifications using instruments such as micrometers callipers magnifiers rulers,55,calculate dimensions tolerances using instruments such as micrometers vernier calipers,0.7974
14095,verify dimensions of products using measuring instruments such as callipers vernier gauges protractors,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7972
7185,maintain current knowledge of relevant research,245,maintain current knowledge of credit regulations,0.7972
5193,examine measure completed materials products to verify conformance to specifications using measuring devices such as tape measures gauges callipers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7964
14105,verify part dimensions clearances to ensure conformance to specifications using precision measuring instruments,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.7963
14106,verify part dimensions clearances using precision measuring instruments to ensure conformance to specifications,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.7963
11516,remove workpieces from machines check to ensure that they conform to specifications using measuring instruments such as microscopes gauges callipers micrometers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.796
14081,verify conformance of patterns template dimensions to specifications using measuring instruments such as callipers scales micrometers,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.7957
7317,maintain professional development through activities such as postgraduate education continuing education preceptorships residency programs,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7956
2582,confer with managers to evaluate weather soil conditions to develop plans procedures to discuss issues such as changes in fertilizers herbicides cultivating techniques,96,consult with other professionals agencies universities to discuss therapies treatments counseling resources techniques to share occupational information,0.7956
7714,measure tolerances of assembled salvageable parts conformance to standards specifications using gauges micrometers callipers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7956
5197,examine measure weigh materials products to verify conformance to specifications using measuring devices such as rulers micrometers scales,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7955
10075,prepare management reports regarding compliance operations progress,313,prepare direct preparation of correspondence reports operations maintenance safety manuals,0.7953
14080,verify conformance of parts to stock lists blueprints using measuring instruments such as callipers gauges micrometers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7953
13551,test operation of engines other systems using test equipment such as ignition analyzers compression checkers distributor timers ammeters,283,operate testing equipment such as heat stress meters octave band analyzers motion analysis equipment inclinometers light meters velometers sling psychrometers colormetric detection tubes,0.7951
1830,collaborate with other scientists in the design development testing of experimental industrial medical equipment instrumentation procedures,120,design develop medical diagnostic clinical instrumentation equipment procedures using the principles of engineering biobehavioral sciences,0.7947
7279,maintain logs prepare reports direct the preparation handling maintenance of departmental records,313,prepare direct preparation of correspondence reports operations maintenance safety manuals,0.7939
6319,inspect weigh measure products to verify conformance to specifications using instruments such as micrometers callipers magnifiers rulers,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.7936
7645,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers callipers gauges micrometers,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.7929
5198,examine measure weigh materials products to verify conformance to standards using measuring devices such as templates micrometers scales,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7929
14071,verify alignment of workpieces on machines using measuring instruments such as rules gauges callipers,427,verify conformance of parts to stock lists blueprints using measuring instruments such as calipers gauges micrometers,0.7928
7621,measure completed workpieces to verify conformance to specifications using micrometers gauges callipers templates rulers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.7926
9121,perform administrative tasks such as accepting orders scheduling appointments meeting rooms sending receiving faxes,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.7921
5198,examine measure weigh materials products to verify conformance to standards using measuring devices such as templates micrometers scales,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.792
234,administer standardized ability achievement tests to elementary students with special needs,3,administer standardized ability achievement tests interpret results to determine students strengths areas of need,0.792
5198,examine measure weigh materials products to verify conformance to standards using measuring devices such as templates micrometers scales,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7918
14071,verify alignment of workpieces on machines using measuring instruments such as rules gauges callipers,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.7906
14322,write grant proposals to procure external research funding review others grant proposals,443,write proposals research project grants,0.7904
7917,monitor energy related design construction issues such as energy engineering energy management sustainable design,345,provide consultation to clients other engineers on topics such as climate control systems energy modeling data logging energy management control systems lighting daylighting design sustainable design energy auditing,0.7902
10933,read work orders production schedules to determine specifications such as materials to be used locations of cutting lines dimensions tolerances,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7895
5193,examine measure completed materials products to verify conformance to specifications using measuring devices such as tape measures gauges callipers,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7895
2770,consult with physicians health care personnel to determine nutritional needs diet restrictions of patient client,42,assess nutritional needs diet restrictions current health plans to develop implement dietary-care plans provide nutritional counseling,0.7886
5194,examine measure finished articles to verify conformance to standards using measuring devices such as tape measures micrometers,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7875
8265,negotiate with creditors on behalf of clients to arrange payment adjustments interest rate reductions time extensions payment plans,98,contact creditors to explain clients financial situations to arrange payment adjustments so that payments are feasible clients agreeable to creditors,0.7868
5141,examine documentation such as mortgages liens judgments easements plat books maps contracts agreements to verify factors such as properties legal descriptions ownership restrictions,324,prepare process legal documents papers such as summonses subpoenas complaints appeals motions pretrial agreements,0.7865
8449,obtain customers names addresses billing information product numbers specifications of items to be purchased enter this information on order forms,92,confer with systems analysts engineers programmers others to design system to obtain information on project limitations capabilities performance requirements interfaces,0.7863
7653,measure examine test completed units to check defects ensure conformance to specifications using precision instruments such as micrometers,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7863
14090,verify depths dimensions of cuts carvings to ensure adherence to specifications blueprints models using measuring instruments,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7862
2614,confer with parents guardians teachers counsellors administrators to resolve students behavioral academic problems,67,collaborate with students parents teachers school administrators counselors to determine student needs develop tutoring plans assess student progress,0.7861
6164,inspect individual parts assemblies installations using measuring instruments such as callipers scales micrometers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.786
13915,troubleshoot problems with audio-visual equipment,421,troubleshoot problems with equipment devices products,0.7858
13968,typeset measure dimensions spacing positioning of page elements such as copy illustrations to verify conformance to specifications using printers ruler layout software,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.7858
1119,attend participate in conferences community events promotional events related to products technologies,141,develop communications materials advertisements presentations public relations initiatives to promote awareness of green products technologies,0.7857
1362,care patients by changing bed linens washing ironing laundry cleaning assisting with their personal care,57,care children elderly persons by overseeing their activities providing companionship assisting them with dressing bathing eating other needs,0.7856
9984,prepare draft review legal documents such as wills deeds patent applications mortgages leases contracts,324,prepare process legal documents papers such as summonses subpoenas complaints appeals motions pretrial agreements,0.7843
10725,provide technical direction support to installation teams during installation start-up testing system commissioning performance monitoring,362,provide technical support during software installation configuration,0.7842
6802,keep abreast of government regulations emerging web technology to ensure regulatory compliance by reviewing current literature talking with colleagues participating in educational programs attending meetings workshops participating in professional organizations conferences,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.784
6319,inspect weigh measure products to verify conformance to specifications using instruments such as micrometers callipers magnifiers rulers,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.7838
13800,translate electromechanical drawings into design specifications applying principles of engineering thermal fluid sciences mathematics statistics,24,analyze implement engineering designs producing electronic devices systems microprocessor-based control applications applying principles of mathematics digital signal processing network analysis computer engineering,0.7837
14080,verify conformance of parts to stock lists blueprints using measuring instruments such as callipers gauges micrometers,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.7837
4748,encourage patients to develop work skills to participate in social recreational other therapeutic activities that enhance interpersonal skills develop social relationships,257,model appropriate social behaviors encourage concern others to cultivate development of interpersonal relationships communication skills,0.7834
7714,measure tolerances of assembled salvageable parts conformance to standards specifications using gauges micrometers callipers,251,measure dimensions of products to verify conformance to specifications using measuring instruments such as rulers calipers gauges micrometers,0.7831
6048,inspect active remediation sites to ensure compliance with environmental safety policies standards regulations,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7826
11701,report to regulating organizations regarding sporting activities complaints made actions taken needed such as fines other disciplinary actions,222,inform advise concerned parties regarding fluctuations securities transactions affecting plans accounts,0.7826
10275,prepare validation performance qualification protocols new modified manufacturing processes systems equipment production of pharmaceuticals electronics other products,169,devise scalable recovery purification fermentation processes producing proteins other biological substances human animal therapeutic use food production processing biofuels effluent treatment,0.7821
13044,study blueprints work orders machining instructions to determine product specifications tool requirements operational sequences,403,study production information such as character descriptions period settings situations in order to determine makeup requirements,0.7819
10055,prepare maintain oversee the preparation maintenance of attendance activity planning personnel reports records,313,prepare direct preparation of correspondence reports operations maintenance safety manuals,0.7816
304,advise other physicians of the clinical indications limitations assessments risks of diagnostic therapeutic applications of radioactive materials,33,analyze the indications contraindications risk complications cost-benefit tradeoffs of therapeutic interventions,0.7816
1857,collaborate with students parents teachers school administrators counsellors to determine student needs develop tutoring plans assess student progress,91,confer with parents guardians teachers counselors administrators to resolve students behavioral academic problems,0.7814
7986,monitor machine operations to detect malfunctions to determine whether adjustments are needed,268,monitor network performance to determine whether adjustments need to be made to determine where changes will need to be made in the future,0.7812
14105,verify part dimensions clearances to ensure conformance to specifications using precision measuring instruments,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.781
14106,verify part dimensions clearances using precision measuring instruments to ensure conformance to specifications,429,verify dimensions alignments clearances of finished parts conformance to specifications using measuring instruments such as calipers gauge blocks micrometers dial indicators,0.781
4110,diagnose medical conditions of patients using records reports test results examination information,332,prepare reports to communicate information such as contamination test results decontamination results decontamination procedures,0.7806
5803,identify environmental mitigation alternatives ensuring compliance with applicable standards laws regulations,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7806
8558,operate calibrate maintain equipment used in quantitative qualitative analysis such as spectrophotometers calorimeters flame photometers computer-controlled analyzers,283,operate testing equipment such as heat stress meters octave band analyzers motion analysis equipment inclinometers light meters velometers sling psychrometers colormetric detection tubes,0.7804
9979,prepare documentation containing information such as confidential descriptions specifications of proprietary hardware software product development introduction schedules product costs information about product performance weaknesses,135,determine map content layout as well as production specifications such as scale size projection colors direct production to ensure that specifications are followed,0.7803
11523,rent merchandise to customers,99,contact customers to persuade them to purchase merchandise services,0.7802
2339,conduct inspections using survey instruments metering devices tape measures test equipment,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.7801
1441,check grooves angles gap allowances using micrometers callipers precision measuring instruments,254,measure parts to determine tolerances using precision measuring instruments such as micrometers calipers verniers,0.7796
14105,verify part dimensions clearances to ensure conformance to specifications using precision measuring instruments,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7795
14106,verify part dimensions clearances using precision measuring instruments to ensure conformance to specifications,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7795
14081,verify conformance of patterns template dimensions to specifications using measuring instruments such as callipers scales micrometers,230,inspect used parts to determine changes in dimensional requirements using rules calipers micrometers other measuring instruments,0.7793
2571,confer with legal authorities to ensure that renting advertising practices are not discriminatory that properties comply with state federal regulations,291,perform monitoring activities to ensure that ships comply with international regulations standards life saving equipment pollution preventatives,0.7793
6309,inspect used parts to determine changes in dimensional requirements using rules callipers micrometers other measuring instruments,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.7793
3995,develop recommend manage security procedures operations processes such as security call centres access control reporting tools,425,use microcontrollers to develop control signals implement control algorithms measure process variables such as temperatures pressures positions,0.7788
10940,read work orders to determine production specifications information,403,study production information such as character descriptions period settings situations in order to determine makeup requirements,0.7788
1285,calculate dimensions tolerances using instruments such as micrometers vernier callipers,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.7787
14081,verify conformance of patterns template dimensions to specifications using measuring instruments such as callipers scales micrometers,431,verify dimensions of products using measuring instruments such as calipers vernier gauges protractors,0.7787
10336,present information with a variety of instructional techniques formats such as role playing simulations team exercises group discussions videos lectures,369,recommend instructional methods such as individual group instruction self-study lectures demonstrations simulation exercises role-playing appropriate content learner characteristics,0.7786
14071,verify alignment of workpieces on machines using measuring instruments such as rules gauges callipers,225,inspect individual parts assemblies installations using measuring instruments such as calipers scales micrometers,0.7784
9159,perform clerical administrative secretarial duties such as answering phones restocking ordering supplies filling out paperwork scheduling appointments,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.7783
2629,confer with realtors lending institution personnel buyers sellers contractors surveyors courthouse personnel to exchange title-related information to resolve problems,211,gather information from doctors schools social workers juvenile counselors law enforcement personnel others to make recommendations to courts resolution of child custody visitation disputes,0.7782
6561,instruct trainees in use of television production equipment filming of events copying editing graphics sound onto videotape,233,instruct trainees in how to use television production equipment how to film events how to copy edit graphics sound onto videotape,0.7782
9102,perform accounting duties such as bookkeeping billing customers services maintaining inventories,290,perform clerical duties such as composing typing proofreading documents scheduling appointments meetings handling mail posting public notices,0.7781
14095,verify dimensions of products using measuring instruments such as callipers vernier gauges protractors,428,verify conformance of patterns template dimensions to specifications using measuring instruments such as calipers scales micrometers,0.778
3389,design conduct applied biodiesel biofuels research projects on topics such as transport thermodynamics mixing filtration distillation fermentation extraction separation,118,design conduct studies to determine optimal conditions cell growth protein production protein virus expression recovery using chromatography separation filtration equipment such as centrifuges bioreactors,0.7779
10052,prepare maintain detailed repair inspection investigation certification records reports,320,prepare maintain design testing operational records documentation,0.7778
4018,develop software applications programming statistical modeling graphic analysis,163,develop statistical models simulations of biochemical production using statistical modeling software,0.7778
6313,inspect vehicles equipment to ensure compliance with rules standards regulations,229,inspect security design features installations programs to ensure compliance with applicable standards regulations,0.7777
